Year,Sub-Saharan Africa,South Asia,North America,Middle East & North Africa,Latin America & Caribbean,Europe & Central Asia,East Asia & Pacific,Arab World
1995,2051176.632,5972805.364,16063406.84,4231378.076,8822030.425,23618895.09,19198913.68,3330545.56
1996,2162315.087,6809160.136,16025775.81,4701322.182,8551754.184,24372463.1,18065014.01,3646304.615
1997,2266702.209,7237844.953,15245445.35,5175510.636,9685258.146,25366468.42,19834895.74,4020720.226
1998,2375228.128,8354725.318,14477498.43,5627051.958,9958444.846,25956326.42,22588173.55,4367473.251
1999,2497892.489,9535671.427,14990951.77,6239579.003,10771736.28,27152340.18,24044091.65,4878628.567
2000,2810685.753,10759047.63,14416000.53,6547548.601,11468476.59,28495641.2,25662086.98,5091089.331
2001,3140082.101,11382909.32,14829008.88,6990293.101,12298469.32,30326270.14,28245116.47,5402626.426
2002,3464002.655,12151465.08,17183848.06,7378563.531,13326952.88,32233641.93,31557553.82,5802302.33
2003,3824411.166,12931103.04,17902849.93,7697469.495,14244958.99,34100075.14,35165144.58,5959178.662
2004,4108845.238,13588131.58,18226114.07,8383898.393,15102328.56,35003695.35,38624138.76,6469052.727
2005,4453371.72,13928884.09,18244883.43,8955370.075,16091209.42,36230292.47,41674204.93,6904955.106
2006,4723321.118,15219705.26,18875772.93,9483213.894,17377161.21,37256258.44,44780916.46,7220627.331
2007,4990546.895,17529912.04,19182741,10302058.28,18709292.44,37903312.53,47478593.35,7594477.423
2008,5393444.116,20098677.32,19694365,11224351.12,20415762.01,38320057.79,49774774.04,8012799.692
2009,5867722.787,21954434.97,20551798,11555144.76,21095788.29,38774159.73,53131166.87,8391844.142
2010,6403521.005,24676443.21,21859147,12326270.75,22073499.37,39247646.2,55671038.79,8731368.974
2011,6864506.763,30969896.92,22499682,12541811.31,23025520.6,39189586.58,57005915.5,8622046.558
2012,7313852.515,33284168.74,22500815,13385584.78,23790179.58,38690352.3,59296424.97,9192872.571
2013,7802971.108,33134461.95,21529279.33,13859940.44,24554838.67,38302424.98,61398975.88,9800904.625
2014,8135548.647,35344644.01,21279095,14639278.15,25528793.74,38061238.91,70036150,10253890.19
2015,8371386.398,37423604.07,21096825.01,14967295.34,26222818.55,37626117.77,71917975.61,10783608.19
2016,8515616.761,37937263.77,20882628.96,14989270.6,27344571.82,37754683.27,72762500.05,10960464.9
2017,8723850.889,39109090.61,20640783.09,15112941.95,28023101.63,38140379.37,72906427.89,11267659.53
2018,8797503.258,40494248,20640821.18,15207893.72,27966361.62,38031595.7,72532871.47,11362611.27
